DICT_CULTURE_ID	DICT_ID	CULTURE_ID	DICT_NM
1	1	1	メインメニュー
2	1	2	Main Menu
3	1	3	主菜单
4	2	1	プレビュー
5	2	2	Preview
6	2	3	预览
7	3	1	印刷設定
8	3	2	Print Settings
9	3	3	打印设定
10	4	1	プリンタ
11	4	2	Printer
12	4	3	打印机
13	5	1	部数
14	5	2	Number of Copies
15	5	3	部数
16	6	1	部単位
17	6	2	Collate
18	6	3	遂份
19	7	1	給紙トレイ
20	7	2	Paper feed tray
21	7	3	给纸支架
22	8	1	帳票レイアウト
23	8	2	Document Layout
24	8	3	报表版面设计
25	9	1	印刷
26	9	2	Print
27	9	3	打印
28	10	1	レイアウトファイルアップロード
29	10	2	Layout File Upload
30	10	3	版面设计文件上传
31	11	1	帳票選択
32	11	2	Document Selection
33	11	3	报表选择
34	12	1	帳票レイアウトファイルアップロード
35	12	2	Document Layout File Upload
36	12	3	报表版面设计文件上传
37	13	1	サブレポートレイアウトファイルアップロード
38	13	2	Sub-Report Layout File Upload
39	13	3	子报表版面设计文件上传
40	14	1	日本語(日本)
41	14	2	Japanese
42	14	3	日语(日本)
43	15	1	管理者
44	15	2	Administrator
45	15	3	管理员
46	16	1	システム管理者
47	16	2	System Administrator
48	16	3	系统管理员
49	17	1	標準ユーザ
50	17	2	Standard User
51	17	3	标准用户
52	18	1	システム管理不可
53	18	2	System Management Disabled
54	18	3	系统管理不可
55	19	1	共通設定不可
56	19	2	Common Setting Disabled
57	19	3	共通设定不可
58	20	1	英語(米国)
59	20	2	English (US)
60	20	3	英语(美国)
61	21	1	簡体(中国)
62	21	2	Chinese (PRC)
63	21	3	简体中文(中国)
64	22	1	グリッドヘッダ設定(ユーザ)
65	22	2	Grid Header Settings (User)
66	22	3	列表头部设定（用户）
67	23	1	グリッドヘッダ設定(基本)
68	23	2	Grid Header Settings (Basic)
69	23	3	列表头部设定（基本）
70	24	1	リセット
71	24	2	Reset
72	24	3	重置
73	25	1	列一覧
74	25	2	Column List
75	25	3	列一览
76	26	1	列幅一覧
77	26	2	Column Width List
78	26	3	列宽一览
79	27	1	明細詳細
80	27	2	Item Details
81	27	3	明细详细
82	28	1	ログイン
83	28	2	Login
84	28	3	登录
85	29	1	ログインID
86	29	2	Login ID
87	29	3	登录ID
88	30	1	パスワード
89	30	2	Password
90	30	3	密码
91	31	1	古いパスワード
92	31	2	Old password
93	31	3	旧密码
94	32	1	新しいパスワード
95	32	2	New password
96	32	3	新密码
97	33	1	パスワードの確認入力
98	33	2	Confirm password
99	33	3	密码的输入确认
100	34	1	パスワード変更
101	34	2	Change password
102	34	3	密码变更
103	35	1	認証管理
104	35	2	Authentication Management
105	35	3	认证管理
106	36	1	次回ログイン時のパスワード変更の強制
107	36	2	Force password change at next login
108	36	3	下次登录时密码强制变更
109	37	1	パスワード変更日時
110	37	2	Password Last Changed Date
111	37	3	密码变更日期
112	38	1	最終ログイン日時
113	38	2	Last Login Date
114	38	3	最终登录日期
115	39	1	最終ログイン失敗日時
116	39	2	Last Login Attempt Date
117	39	3	最终登录失败日期
118	40	1	ログイン失敗回数
119	40	2	Invalid Login Attempts
120	40	3	登录失败次数
121	41	1	ロックアウト日時
122	41	2	Lockout Date
123	41	3	闭锁日期
124	42	1	利用可能開始日
125	42	2	Account Start Date
126	42	3	可利用的开始日
127	43	1	利用可能開始時間
128	43	2	Account Start Time
129	43	3	可利用的开始时间
130	44	1	利用可能終了日
131	44	2	Account Expiration Date
132	44	3	可利用的终了日
133	45	1	利用可能終了時間
134	45	2	Account Expiration Time
135	45	3	可利用的终了时间
136	46	1	ユーザ編集
137	46	2	User Edit
138	46	3	用户编辑
139	47	1	次回のログイン時にパスワードの変更を強制する
140	47	2	Force password change at next login
141	47	3	下次登录时密码强制变更
142	48	1	プリンタグループマスタメンテナンス
143	48	2	Printer Group Master
144	48	3	打印组主表维护
145	49	1	プリンタグループマスタメンテナンスグリッド
146	49	2	Printer Group Master Maintenance Grid
147	49	3	打印组主表维护列表
148	50	1	印刷サービス情報メンテナンス(一覧)
149	50	2	Print Service Info
150	50	3	打印服务信息维护(一览)
151	51	1	印刷サービス情報メンテナンスグリッド
152	51	2	Print Service Info Maintenance Grid
153	51	3	打印服务信息维护列表
154	52	1	印刷サービス情報メンテナンス(編集)
155	52	2	Print Service Info Maintenance
156	52	3	打印服务信息维护(编辑)
157	53	1	プリンタマスタメンテナンス
158	53	2	Printer Master
159	53	3	打印机主表维护
160	54	1	プリンタマスタメンテナンスグリッド
161	54	2	Printer Master Maintenance Grid
162	54	3	打印机主表维护列表
163	55	1	プリンタ属性マスタメンテナンス
164	55	2	Printer Properties Master
165	55	3	打印机属性主表维护
166	56	1	プリンタ属性マスタメンテナンスグリッド
