MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1	acceptFileTypes	error	base	サーバへ送信できないファイルが含まれています。	送信不可	1
2	acceptFileTypes	error	base	Upload contains an invalid file type.	Invalid file	2
3	acceptFileTypes	error	base	含有无法向服务器发送的文件。	无法发送	3
4	afterAutoPrintSetting	info	base	自動印刷設定(変更後)		1
5	afterAutoPrintSetting	info	base	Automated Print Settings (After)		2
6	afterAutoPrintSetting	info	base	自动印刷设定(变更后)		3
7	alreadyDeletedCannotDeleteError	error	base	既に削除されています。	既に削除済	1
8	alreadyDeletedCannotDeleteError	error	base	Data is already deleted.	Already deleted	2
9	alreadyDeletedCannotDeleteError	error	base	早已删除。	早已删除	3
10	alreadyRegisteredCannotRegisterError	error	base	既に登録されています。	既に登録済	1
11	alreadyRegisteredCannotRegisterError	error	base	Data has already been registered.	Already registered	2
12	alreadyRegisteredCannotRegisterError	error	base	已登录。	已登录	3
13	applyOrderDuplicateError	error	base	適用順序が重複しています。	重複	1
14	applyOrderDuplicateError	error	base	Duplicate Order.	Duplicate data	2
15	applyOrderDuplicateError	error	base	适用顺序重复。	重复	3
16	authenticationTokenInvalidError	error	base	ログアウトされています。認証画面より再度ログインして下さい。		1
17	authenticationTokenInvalidError	error	base	You have been logged out. Please log in from the Login screen.		2
18	authenticationTokenInvalidError	error	base	退出完成。请从认证画面再次登录。		3
19	authFatalError	error	base	認証処理にて致命的エラーが発生しました。[/]管理者に連絡して下さい。		1
20	authFatalError	error	base	An unhandled exception occurred in the authentication process. [/]Please contact your administrator.		2
21	authFatalError	error	base	认证处理发生致命错误。[/]请联络管理者。		3
22	authorizationError	error	base	システムに対するアクセス権がありません。[/]管理者に連絡して下さい。		1
23	authorizationError	error	base	You do not have valid access rights to the system. [/]Please contact your administrator.		2
24	authorizationError	error	base	没有权限连接该系统。[/]请联络管理者。		3
25	argMasterError	error	base	引数マスタ取得エラー	取得失敗	1
26	argMasterError	error	base	ARG Master acquisition error	Acquisition failure	2
27	argMasterError	error	base	参数主表取得错误	取得失败	3
28	beforeAutoPrintSetting	info	base	自動印刷設定(変更前)		1
29	beforeAutoPrintSetting	info	base	Automated Print Settings (Before)		2
30	beforeAutoPrintSetting	info	base	自动印刷设定(变更前)		3
31	classCdDuplicateError	error	base	区分値CDが重複しています。	重複	1
32	classCdDuplicateError	error	base	Duplicate Classification Code.	Duplicate data	2
33	classCdDuplicateError	error	base	区分值CD重复。	重复	3
34	classDtlCdDuplicateError	error	base	区分値明細CDが重複しています。	重複	1
35	classDtlCdDuplicateError	error	base	Duplicate Classification Detail Code.	Duplicate data	2
36	classDtlCdDuplicateError	error	base	区分值明细CD重复。	重复	3
37	classGrpCdDuplicateError	error	base	区分値グループCDが重複しています。	重複	1
38	classGrpCdDuplicateError	error	base	Duplicate Classification Group Code.	Duplicate data	2
39	classGrpCdDuplicateError	error	base	区分值组CD重复。	重复	3
40	clear	info	base	クリア		1
41	clear	info	base	Clear		2
42	clear	info	base	清空		3
43	colCdDuplicateError	error	base	列CDが重複しています。	重複	1
44	colCdDuplicateError	error	base	Duplicate Column Code.	Duplicate data	2
45	colCdDuplicateError	error	base	列CD重复。	重复	3
46	colOrderDuplicateError	error	base	列順序が重複しています。	重複	1
47	colOrderDuplicateError	error	base	Duplicate column index.	Duplicate data	2
48	colOrderDuplicateError	error	base	列顺序重复。	重复	3
49	columnMasterError	error	base	列マスタ取得エラー	取得失敗	1
50	columnMasterError	error	base	Column Master acquisition error	Acquisition failure	2
51	columnMasterError	error	base	列主表取得错误	取得失败	3
52	confirmDeleteRow	info	base	選択した行を削除しますか？		1
53	confirmDeleteRow	info	base	Are you sure you want to delete the selected row?		2
54	confirmDeleteRow	info	base	要删除选择的行吗？		3
55	cultureMasterError	error	base	カルチャマスタ取得エラー	取得失敗	1
56	cultureMasterError	error	base	Culture Master acquisition error	Acquisition failure	2
57	cultureMasterError	error	base	区域和语言主表取得错误	取得失败	3
58	dataDeleteConfirmation	confirm	base	対象データを削除しますか？		1
59	dataDeleteConfirmation	confirm	base	Are you sure you want to delete this data?		2
60	dataDeleteConfirmation	confirm	base	要删除对象数据吗？		3
61	dataNotFoundError	error	base	該当データが存在しません。	未存在	1
62	dataNotFoundError	error	base	The search did not return any results.	Does not exist	2
63	dataNotFoundError	error	base	该数据不存在。	不存在	3
64	dataRegisterConfirmation	confirm	base	対象データを登録しますか？		1
65	dataRegisterConfirmation	confirm	base	Are you sure you want to register this data?		2
66	dataRegisterConfirmation	confirm	base	要登录对象数据吗？		3
67	dataUpdateConfirmation	confirm	base	対象データを更新しますか？		1
68	dataUpdateConfirmation	confirm	base	Are you sure you want to update this data?		2
69	dataUpdateConfirmation	confirm	base	是否更新对象数据？		3
70	dateError	error	base	日付不正(形式:[0])	日付不正(形式:[0])	1
71	dateError	error	base	Invalid date format: [0]	Invalid date format: [0]	2
72	dateError	error	base	日期错误(形式:[0])	日期错误(形式:[0])	3
73	decimalLengthError	error	base	小数[0]桁以内	小数[0]桁以内	1
74	decimalLengthError	error	base	Decimal up to [0] place(s)	Decimal up to [0] place(s)	2
75	decimalLengthError	error	base	小数[0]位以内	小数[0]位以内	3
76	integerError	error	base	整数のみ	整数のみ	1
77	integerError	error	base	Integers only	Integers only	2
78	integerError	error	base	仅整数	仅整数	3
79	delete	info	base	削除		1
80	delete	info	base	Remove		2
81	delete	info	base	删除		3
82	deleteExceptionError	error	base	削除処理時にエラーが発生しました。(詳細：[0])	削除例外エラー	1
83	deleteExceptionError	error	base	An error occurred during deletion. (Details: [0])	Deletion error	2
84	deleteExceptionError	error	base	删除处理时发生错误。(詳細：[0])	删除例外错误	3
85	deleteRowErrNotSelect	info	base	削除する行が選択されていません。	未選択	1
86	deleteRowErrNotSelect	info	base	Line to delete has not been selected.	Not selected	2
87	deleteRowErrNotSelect	info	base	没有选中要删除的行。	未选择	3
88	deleteRowSuccess	info	base	行を削除しました。		1
89	deleteRowSuccess	info	base	Line deleted successfully.		2
90	deleteRowSuccess	info	base	行删除完成。		3
91	developerMessage	error	base	開発者向けメッセージ		1
92	developerMessage	error	base	Developers message		2
93	developerMessage	error	base	给开发者的信息		3
94	dictNmDuplicateError	error	base	辞書名が重複しています。	重複	1
95	dictNmDuplicateError	error	base	Duplicate Dictionary Name.	Duplicate data	2
96	dictNmDuplicateError	error	base	辞典名重复。	重复	3
97	dictNotFoundError	error	base	辞書マスタに存在しません。	辞書未存在	1
98	dictNotFoundError	error	base	Does not exist in Dictionary Master.	Does not exist	2
99	dictNotFoundError	error	base	在辞典主表中不存在。	辞典不存在	3
100	dispNmNotFoundInDispMasterError	error	base	画面名称が画面マスタに存在しません。	未存在	1
101	dispNmNotFoundInDispMasterError	error	base	Does not exist in Screen Master.	Does not exist	2
